Atributo,Descripción
Funcionario,Nombre de la persona que llena el formulario
Organización,Nombre de la organización de sociedad civil que registra el avance
Compromiso,Nombre del compromiso
Hito primer compromiso,Nombre hito del compromiso 1
Hito segundo compromiso,Nombre hito del compromiso 2
Hito tercer compromiso,Nombre hito del compromiso 3
Hito cuarto compromiso,Nombre hito del compromiso 4
Hito quinto compromiso,Nombre hito del compromiso 5
Hito sexto compromiso,Nombre hito del compromiso 6
Hito séptimo compromiso,Nombre hito del compromiso 7
Hito octavo compromiso,Nombre hito del compromiso 8
Hito noveno compromiso,Nombre hito del compromiso 9
Hito décimo compromiso,Nombre hito del compromiso 10
Fecha de registro,Fecha del registro de formulario
Indicador 2,Estado del cumplimiento del hito
Indicador 3 - entidad,La entidad responsable ha respondido con sus responsabilidades con la contraparte durante el compromiso
Indicador 3 - justificación,Justificación indicador 3
Indicador 7,Se ha percibido un cambio en la realidad previa respecto a la realidad una vez implementado el hito del compromiso
